,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
15677,1650,Selangor - Subang Jaya,Service Residence,1.0,1.0,1.0,732,Fully Furnished,"Gymnasium, Security, Playground, Swimming Pool, Barbeque area, Parking, Lift, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15678,750,Selangor - Damansara Perdana,Apartment,3.0,0.0,2.0,750,Partially Furnished,"Parking, Security, Lift, Playground, Minimart","Cooking Allowed, Washing Machine",Selangor
15679,2600,Selangor - Petaling Jaya,Service Residence,2.0,0.0,2.0,818,Fully Furnished,"Security, Jogging Track, Parking, Swimming Pool, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Internet",Selangor
15680,1200,Selangor - Seri Kembangan,Service Residence,2.0,1.0,2.0,752,Partially Furnished,"Security, Gymnasium, Multipurpose hall, Playground, Swimming Pool, Parking",Air-Cond,Selangor
15681,700,Selangor - Petaling Jaya,Apartment,3.0,0.0,2.0,650,Partially Furnished,None,"Cooking Allowed, Air-Cond",Selangor
15682,1500,Selangor - Ampang,Condominium,1.0,1.0,1.0,450,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15683,680,Selangor - Kajang,Flat,3.0,1.0,2.0,680,Not Furnished,Parking,None,Selangor
15684,1500,Selangor - Cyberjaya,Condominium,3.0,2.0,2.0,1010,Partially Furnished,"Lift, Swimming Pool, Gymnasium, Playground, Barbeque area, Multipurpose hall, Jogging Track, Parking, Security","Air-Cond, Washing Machine, Internet",Selangor
15685,1399,Selangor - Subang Jaya,Service Residence,4.0,0.0,2.0,1089,Fully Furnished,"Minimart, Multipurpose hall, Parking, Security, Tennis Court, Lift, Swimming Pool, Playground",None,Selangor
15686,1600,Selangor - Shah Alam,Condominium,3.0,2.0,2.0,915,Partially Furnished,"Security, Jogging Track, Parking, Minimart, Gymnasium, Playground, Swimming Pool, Tennis Court, Squash Court",None,Selangor
15687,1600,Selangor - Cheras,Service Residence,4.0,2.0,2.0,859,Partially Furnished,"Security, Lift, Parking, Gymnasium, Swimming Pool, Playground, Sauna, Minimart, Multipurpose hall, Barbeque area",None,Selangor
15688,2800,Selangor - Setia Alam,Service Residence,2.0,0.0,2.0,985,Fully Furnished,"Barbeque area, Playground, Parking, Security, Minimart, Lift, Sauna, Gymnasium, Tennis Court, Squash Court, Jogging Track, Swimming Pool","Air-Cond, Washing Machine, Cooking Allowed",Selangor
15689,1500,Selangor - Petaling Jaya,Condominium,3.0,2.0,2.0,1200,Partially Furnished,"Jogging Track, Tennis Court, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
15690,2100,Selangor - Bandar Sunway,Condominium,4.0,2.0,2.0,1300,Fully Furnished,"Jogging Track, Barbeque area, Club house, Minimart, Sauna, Security, Playground, Parking, Swimming Pool, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor
